,id,minimum_lease,maximum_lease,daily_price,monthly_price,weekend_price,weekly_price,is_hourly_enabled,hourly_price,seo_title,title,description,seo_description,neighborhood,city,postal_code,space_type,location_type,primary_features__c,ideal_for__c,city_slug
249,28418,1,1.0,11500.0,,18800.0,,,,DREAM PRINCESS- 豪華遊艇出租,DREAM PRINCESS- 豪華遊艇出租,"- 台灣製造的豪華遊艇，擁有熱情專業的船員團隊

- 帶寬敞的戶外休息區

-帶開放式用餐區和舒適駕駛艙

- 古典設計的沙龍，帶木製家具和真皮沙發

- 餐桌、音響設備和卡拉OK系統","- 台灣製造的豪華遊艇，擁有熱情專業的船員團隊

- 帶寬敞的戶外休息區

-帶開放式用餐區和舒適駕駛艙

- 古典設計的沙龍，帶木製家具和真皮沙發

- 餐桌、音響設備和卡拉OK系統",Central,Hong Kong,,Boat,,Furniture;Lighting;Sound & Video Equipment;Toilets,Late Night Event (after 10pm);Food Event;Corporate Event;Photoshoot & Filming;Meeting,hong-kong
250,26347,1,,4000.0,,,,,,荃灣攝影棚/工作室出租,荃灣攝影棚/工作室出租,工作室設備齊全。整個工作室的收費大約每小時$500，包括客戶可能需要的任何設備，包括一名工作室服務人員。,工作室設備齊全。整個工作室的收費大約每小時$500，包括客戶可能需要的任何設備，包括一名工作室服務人員。,Tsuen Wan,Hong Kong,,Photo / Filming Studio,,Air Conditioning;Electricity;Sound & Video Equipment;Toilets;Multiple Rooms,Photo Shooting,hong-kong
251,27125,365,,,283333.0,,,,,Rare Sizeable Restaurant with License and Fittings in Central,Ready-to-Use Restaurant with License and Fittings in Central,"This ready-to-use Restaurant/Cafe is located on the 2F of a Grade-A Commercial Building in the heart of Central. Very Rare 7900+ sqft (Gross) restaurant space.

Handover with General Restaurant License and Restaurant Fittings.

Suitable for F&B and Retail businesses.",This ready-to-use Restaurant/Cafe is located on the 2F of a Grade-A Commercial Building in the heart of Central. Very Rare 7900+ sqft (Gross) restaurant space.,Central,Hong Kong,,Restaurant / Bar / Cafe,,Air Conditioning;Furniture;Counters;Lighting;Toilets;Bathroom;Bar;Large Door Entrance,Food & Beverage,hong-kong
252,27217,365,,,125000.0,,,,,蘇豪區大型臨街零售店,蘇豪區大型臨街零售店,"這單位位於中環蘇豪區的繁華街道上。

共兩層樓，總面積為1300平方平方呎（地下為800平方呎，一樓為500平方平方呎）

這家店的位置附近有大量的畫廊，餐廳，人流極佳。

適合不同類型的企業租用","這單位位於中環蘇豪區的繁華街道上。

共兩層樓，總面積為1300平方平方呎（地下為800平方呎，一樓為500平方平方呎）

這家店的位置附近有大量的畫廊，餐廳，人流極佳。

適合不同類型的企業租用",Sheung Wan,Hong Kong,,Boutique / Shop,,Electricity;Street Level;Window Display;Large Door Entrance,Pop-Up Store,hong-kong
255,26207,365,,,130000.0,,,,,Office Floor for Rent in Central,Office Floor for Rent in Central,"Modern office space with elegant features. 

This space is strategically located in Central, Its size of 3,033 sq ft makes it ideal for a medium-size team. 

Its condition is very good and is ready to move in.",Modern office space with elegant features.,Central,Hong Kong,,Office Space,,Air Conditioning;Electricity;Toilets;Multiple Rooms,Office,hong-kong
256,27069,365,,,123850.0,,,,,F&B unit for rent in Wan Chai,F&B unit for rent in Wan Chai,"Ideal F&B unit in a beautiful office building of Wan Chai. 

The lettable area is 2,477 sq ft. 

Air conditioning is supplied from 10 am to 10 pm.",Ideal F&B unit in a beautiful office building of Wan Chai.,Wan Chai,Hong Kong,,Restaurant / Bar / Cafe,,Air Conditioning;Electricity;Large Door Entrance,Food & Beverage,hong-kong
257,27189,336,1008.0,,116666.0,,,,,蘇豪區 半零售單位連空中花園,蘇豪區 半零售單位連空中花園,"這 2103 平方尺的摩登半零售單位提供自然採光和絕佳的城市景觀。 這單位包括一個空中花園。

它位於一座全新的銀座式建築內，鄰近交通繁忙的中半山行人天橋，步行即可到達中環商業中心區、蘭桂坊 和大館。 

絕對是時裝店、沙龍、藝術畫廊、私人活動等的理想場所。","這 2103 平方尺的摩登半零售單位提供自然採光和絕佳的城市景觀。 這單位包括一個空中花園。

它位於一座全新的銀座式建築內，鄰近交通繁忙的中半山行人天橋，步行即可到達中環商業中心區、蘭桂坊 和大館。 

絕對是時裝店、沙龍、藝術畫廊、私人活動等的理想場所。",Central,Hong Kong,,Boutique / Shop,,Electricity;Handicap Accessible;Stock Room;Toilets;Stunning View;Elevator;Raw,Art Opening;Product Launch;Pop-Up Store;Fashion Showroom;Photoshoot & Filming;Office,hong-kong
258,26012,336,1008.0,,29000.0,,,,,荔枝角辦公室出租 充滿自然光,荔枝角辦公室出租 充滿自然光,"物業位於荔枝角/長沙灣工商業大廈區地標。

鄰近港鐵站和巴士站，步行僅 5 分鐘。

單位最近經過翻新，提供乾淨且光線充足的工作環境。 並且設有洗手間及中央冷氣.","物業位於荔枝角/長沙灣工商業大廈區地標。

鄰近港鐵站和巴士站，步行僅 5 分鐘。

單位最近經過翻新，提供乾淨且光線充足的工作環境。 並且設有洗手間及中央冷氣.",Cheung Sha Wan,Hong Kong,,Office Space,,Air Conditioning;Electricity;Lighting;Toilets,Office,hong-kong
259,27128,365,,,266666.0,,,,,Traditional Chinese Restaurant with License and Fittings in Wanchai for Rent,Traditional Chinese Restaurant with License and Fittings in Wanchai,"This ready-to-use Restaurant/Cafe is located on the 3rd and 4th floor of a Commercial Building in the heart of Wanchai. Hourly parking is available in the same building.

Handover with General Restaurant License and Restaurant Fittings.

Suitable for F&B and Leisure businesses.",This ready-to-use Restaurant/Cafe is located on the 3rd and 4th floor of a Commercial Building in the heart of Wanchai is available now for rent.,Wan Chai,Hong Kong,,Restaurant / Bar / Cafe,,Air Conditioning;Furniture;Counters;Kitchen;Lighting,Food & Beverage,hong-kong
264,27969,1,7.0,4500.0,,6000.0,28000.0,,,西營盤場地出租,西營盤場地出租,您是在尋找Pop-Up快閃店或活動空間嗎？ 我們的空間運作簡單而靈活，我們可以幫助您的品牌以較低的成本在黃金地段曝光，同時提供促銷支持，以提高銷售額。,您是在尋找Pop-Up快閃店或活動空間嗎？ 我們的空間運作簡單而靈活，我們可以幫助您的品牌以較低的成本在黃金地段曝光，同時提供促銷支持，以提高銷售額。,Sai Ying Pun,Hong Kong,,Atelier / Workshop Studio,,Air Conditioning;Garment Rack;Counters;Electricity;Fitting Rooms;Street Level;Internet;Toilets;Ground Floor;Large Door Entrance,Private Sale;Art Opening;Late Night Event (after 10pm);Pop-Up Store;Corporate Event,hong-kong
265,27192,365,,,17000.0,,,,,零售商店出租 - 重新裝修的購物商場 - 鄰近香港大學,零售商店出租 - 重新裝修的購物商場 - 鄰近香港大學,"這個重新裝修過的商場位於香港大學站附近，非常適合有意在商場擴展業務的零售企業。
這個 269 平方英尺的單位位於商場的入口處，距離香港大學站不到 2 分鐘步行路程，交通完善方便。","這個重新裝修過的商場位於香港大學站附近，非常適合有意在商場擴展業務的零售企業。
這個 269 平方英尺的單位位於商場的入口處，距離香港大學站不到 2 分鐘步行路程，交通完善方便。",Sai Wan,Hong Kong,,Mall Shop,,Raw;Large Door Entrance,Pop-Up Store,hong-kong
266,26011,336,1008.0,,34000.0,,,,,全新裝修 荔枝角辦公室出租,全新裝修 荔枝角辦公室出租,"物業位於荔枝角/長沙灣工商業大廈區的地標，鄰近港鐵及巴士站。

單位面向長沙灣廣場，

辦公室裝修齊全, 天花板和地板，洗手間，中央冷氣妥當. 並且擁有多個房間，適合辦公室或會議使用。","物業位於荔枝角/長沙灣工商業大廈區的地標，鄰近港鐵及巴士站。

單位面向長沙灣廣場，

辦公室裝修齊全, 天花板和地板，洗手間，中央冷氣妥當. 並且擁有多個房間，適合辦公室或會議使用",Cheung Sha Wan,Hong Kong,,Office Space,,Air Conditioning;Electricity;Lighting;Toilets;Elevator,Office,hong-kong
267,9379,1,14.0,8000.0,,8000.0,56000.0,,,尖沙咀快閃店出租,尖沙咀快閃店出租,"這 490 平方尺空間位於具有工業風建築的一樓。

該空間擁有現代室內設計和大型玻璃。 它分為兩個主要部分，並使用中性色調：白色牆壁和米色木質地板有助於營造舒適的環境。 還有冷氣、Wi-Fi、桌椅、更衣室、書架、大鏡子、展銷櫃，滿足你的一切需求！

歡迎創意人士和品牌舉辦為期 1-14 天的活動。","這 490 平方尺空間位於具有工業風建築的一樓。

該空間擁有現代室內設計和大型玻璃。 它分為兩個主要部分，並使用中性色調：白色牆壁和米色木質地板有助於營造舒適的環境。 還有冷氣、Wi-Fi、桌椅、更衣室、書架、大鏡子、展銷櫃，滿足你的一切需求！

歡迎創意人士和品牌舉辦為期 1-14 天的活動。",Tsim Sha Tsui,Hong Kong,,Boutique / Shop,,Air Conditioning;Furniture;Garment Rack;Electricity;Lighting;Stock Room;Internet;Toilets;Bar;Industrial,Product Launch;Pop-Up Store;Fashion Showroom,hong-kong
273,27123,365,,,220000.0,,,,,旺角商舖出租 高樓底,旺角商舖出租 高樓底,這主要的零售空間位於旺角繁華地段。 擁有 5米高天花板和精緻的裝修，是金融/銀行、餐飲或任何零售業務的理想場地。,這主要的零售空間位於旺角繁華地段。 擁有 5米高天花板和精緻的裝修，是金融/銀行、餐飲或任何零售業務的理想場地。,Mong Kok,Hong Kong,,Boutique / Shop,,Furniture;Counters;Lighting;Street Level;Window Display;Ground Floor;Large Door Entrance,Pop-Up Store;Food & Beverage,hong-kong
281,28679,365,,,62500.0,,,,,威靈頓街服裝精品店出租,威靈頓街服裝精品店出租,"這商店位於威靈頓街繁華地段, 附近餐廳、酒店和酒吧林立。

總面積為 1,300 平方尺，其中臨街面積為 700 平方尺，閣樓為 600 平方尺。

其理想尺寸適合所有生活方式企業願意將其活動與辦公空間或存儲空間結合的企業。","這商店位於威靈頓街繁華地段, 附近餐廳、酒店和酒吧林立。

總面積為 1,300 平方尺，其中臨街面積為 700 平方尺，閣樓為 600 平方尺。

其理想尺寸適合所有生活方式企業願意將其活動與辦公空間或存儲空間結合的企業。",Central,Hong Kong,,Boutique / Shop,,Ground Floor,Pop-Up Store;Food & Beverage,hong-kong
282,28435,1,1.0,50000.0,,,,,,SUNSEEKER - 遊艇出租,SUNSEEKER - 遊艇出租,"設計新穎. 有大型沙發, 獨立餐飲及休閒區, 設有下層獨立休息區. 非常適合舉辦公司活動以及私人派對, 一同享受海上之旅","設計新穎. 有大型沙發, 獨立餐飲及休閒區, 設有下層獨立休息區. 非常適合舉辦公司活動以及私人派對, 一同享受海上之旅",Central,Hong Kong,,Boat,,Furniture;Electricity;Lighting;Sound & Video Equipment;Toilets,Late Night Event (after 10pm);Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Photo Shooting,hong-kong
283,28434,1,1.0,25800.0,,36800.0,,,,VICTOR TANK - 大型遊艇出租,VICTOR TANK - 大型遊艇出租,"市場上最大的遊艇之一
- 唯一配備按摩浴缸的租賃遊艇
-寬闊的遊艇上層， 有餐桌、日光浴床和音響系統
-寬敞的沙發休息區，設有用餐區、開放式酒吧以及卡拉OK","市場上最大的遊艇之一
- 唯一配備按摩浴缸的租賃遊艇
-寬闊的遊艇上層， 有餐桌、日光浴床和音響系統
-寬敞的沙發休息區，設有用餐區、開放式酒吧以及卡拉OK",Central,Hong Kong,,Boat,,Furniture;Electricity;Lighting;Sound & Video Equipment;Toilets;Bar,Late Night Event (after 10pm);Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Photo Shooting,hong-kong
286,28421,1,1.0,40800.0,,40800.0,,,,AZIMUT - 豪華遊艇出租,AZIMUT - 豪華遊艇出租,"Azimut 是意大利製造的豪華遊艇，世界上最大的遊艇製造商。 

- 切油戶外餐桌和沙發區域。
- 舒適的設計, 包括一個帶沐浴平台的駕駛艙區域，創造了一個開放區域
擁抱大海。
- 優雅、舒適設計的休息區
-帶獨立用餐區, 開放式廚房","Azimut 是意大利製造的豪華遊艇，世界上最大的遊艇製造商。 

- 切油戶外餐桌和沙發區域。
- 舒適的設計, 包括一個帶沐浴平台的駕駛艙區域，創造了一個開放區域
擁抱大海。
- 優雅、舒適設計的休息區
-帶獨立用餐區, 開放式廚房",Central,Hong Kong,,Boat,,Furniture;Electricity;Kitchen;Lighting;Sound & Video Equipment;Toilets;Bathroom;Bar,Late Night Event (after 10pm);Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Photo Shooting,hong-kong
290,8566,1,3.0,3300.0,,3300.0,,,,上環Pop-Up快閃店出租,上環Pop-Up快閃店出租,"這個空間位於上環， 位置便利, 設施齊全. 非常適合舉辦藝術開幕、Pop-Up快閃店、陳列室和其他特殊的短期活動。","這個空間位於上環， 位置便利, 設施齊全. 非常適合舉辦藝術開幕、Pop-Up快閃店、陳列室和其他特殊的短期活動。",Sheung Wan,Hong Kong,,Photo / Filming Studio,,Air Conditioning;Furniture;Heating;Lighting;Internet;Toilets,Product Launch;Fashion Showroom;Photoshoot & Filming;Photo Shooting,hong-kong
291,28427,1,1.0,11800.0,,19800.0,,,,GENTLE PRINCE - 遊艇出租,GENTLE PRINCE - 遊艇出租,"- 綜合沙龍區，足以容納數十人
- 真皮沙發、餐桌、音響設備和卡拉OK系統
- 帶戶外餐桌和日光浴墊","- 綜合沙龍區，足以容納數十人
- 真皮沙發、餐桌、音響設備和卡拉OK系統
- 帶戶外餐桌和日光浴墊",Central,Hong Kong,,Boat,,Furniture;Electricity;Lighting;Sound & Video Equipment;Toilets,Late Night Event (after 10pm);Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Photo Shooting,hong-kong
292,27920,365,,,31666.0,,,,,商舖出租 鄰近油麻地港鐵站,商舖出租 鄰近油麻地港鐵站,"這550 平方尺（總面積）的商舖出租。 距離油麻地地鐵站步行 2 分鐘, 地理位置優秀。
請聯絡我們, 查詢更多。","這550 平方尺（總面積）的商舖出租。 距離油麻地地鐵站步行 2 分鐘, 地理位置優秀。
請聯絡我們, 查詢更多。",Yau Ma Tei,Hong Kong,,Boutique / Shop,,Street Level,Pop-Up Store,hong-kong
299,28433,1,1.0,16800.0,,23800.0,,,,SILVER TANK - 大型遊艇出租,SILVER TANK - 大型遊艇出租,"- 巨大寬敞的沙發休息區，擁有大量窗戶和良好自然光
- 設有餐桌、音響設備和 卡拉OK系統
- 獨特的戶外沙發，專為日光浴和社交而設計的區域
- 設有戶外餐桌和沙發","- 巨大寬敞的沙發休息區，擁有大量窗戶和良好自然光
- 設有餐桌、音響設備和 卡拉OK系統
- 獨特的戶外沙發，專為日光浴和社交而設計的區域
- 設有戶外餐桌和沙發",Central,Hong Kong,,Boat,,Furniture;Electricity;Lighting;Sound & Video Equipment;Toilets,Late Night Event (after 10pm);Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Photo Shooting,hong-kong
300,28419,1,1.0,14900.0,,21800.0,,,,PURE PRINCESS - 遊艇出租,PURE PRINCESS - 遊艇出租,"商務艙設計，可容納適合10 人
-帶獨立用餐和休閒區的大型沙龍
-真皮沙發、餐桌、音響設備和KTV系統
- 獨立的樓下休息區
- 帶特大號雙人床的主艙
- 設有戶外餐桌和沙發
- 寬敞的駕駛艙設有適合 8 人的開放式用餐區","商務艙設計，可容納適合10 人
-帶獨立用餐和休閒區的大型沙龍
-真皮沙發、餐桌、音響設備和KTV系統
- 獨立的樓下休息區
- 帶特大號雙人床的主艙
- 設有戶外餐桌和沙發
- 寬敞的駕駛艙設有適合 8 人的開放式用餐區",Central,Hong Kong,,Boat,,Furniture;Electricity;Lighting;Sound & Video Equipment;Toilets,Late Night Event (after 10pm);Corporate Event;Photoshoot & Filming;Meeting;Office;Photo Shooting,hong-kong
301,11492,180,365.0,,19000.0,,,,,旺角Pop-Up快閃店出租,旺角Pop-Up快閃店出租,"這商場店舖位於旺角。 它佔地 100 平方尺，是快閃店和私人銷售的理想場所。

這快閃店位於一個擁有溫馨入口的購物中心內，在明亮的氛圍中開放。
這商店擁有現代的白色牆壁和瓷磚地板內飾。 大窗戶營造出光線充足的氛圍。 它提供包括 冷氣在內的基本設施，並可容納各種彈出窗口。

這商店靠近旅遊景點和受歡迎的餐廳，交通便利，是快閃店和零售活動的絕佳地點。

商店可出租至少六個月，非常適合尋求中期租賃機會的新興品牌",這商場店舖位於旺角。 它佔地 100 平方尺，是快閃店和私人銷售的理想場所。,Mong Kok,Hong Kong,,Mall Shop,,Air Conditioning;Electricity;Lighting;Window Display,Pop-Up Store;Shopping Mall,hong-kong
304,25668,365,,,233333.0,,,,,油麻地場地出租,油麻地場地出租,"這寬敞店舖位於旺角彌敦道, 擁有龐大的人流，場地鄰近地鐵站和\巴士站，交通便利，是舉辦零售活動和時尚零售的絕佳地點","這寬敞店舖位於旺角彌敦道, 擁有龐大的人流，場地鄰近地鐵站和\巴士站，交通便利，是舉辦零售活動和時尚零售的絕佳地點",Yau Ma Tei,Hong Kong,,Boutique / Shop,,Street Level,Pop-Up Store,hong-kong
306,20409,1,84.0,1500.0,25000.0,1800.0,,,,工業風精品商舖出租,工業風精品商舖出租,這家通風良好的工業風商舖是舉辦活動、Pop-Up快閃店或藝術展覽的理想場地。 高天花板給人一種開放感覺，白色的牆壁和地板滿足您不同的需求！,這家通風良好的工業風商舖是舉辦活動、Pop-Up快閃店或藝術展覽的理想場地。 高天花板給人一種開放感覺，白色的牆壁和地板滿足您不同的需求！,Mui Wo,Hong Kong,,Boutique / Shop,,Furniture;Counters;Electricity;Fitting Rooms;Lighting;Stock Room;Street Level;Internet;Window Display;Office Equipment;Toilets;Industrial,Art Opening;Late Night Event (after 10pm);Product Launch;Pop-Up Store;Fashion Showroom;Food Event;Corporate Event;Photoshoot & Filming,hong-kong
307,28425,1,1.0,25900.0,,37900.0,,,,BLUE TANK - 遊艇出租,BLUE TANK - 遊艇出租,"- 獨特的陽光甲板區，帶日光浴墊
- 寬敞的駕駛艙，設有適合 10 人的開放式用餐區
- 帶獨立用餐和休閒區的大型沙龍, 開放式酒吧
- 真皮沙發、餐桌、音響設備和卡拉OK系統
- 開放式廚房和內部吧台
- 帶特大號雙人床的主艙","- 獨特的陽光甲板區，帶日光浴墊
- 寬敞的駕駛艙，設有適合 10 人的開放式用餐區
- 帶獨立用餐和休閒區的大型沙龍, 開放式酒吧
- 真皮沙發、餐桌、音響設備和卡拉OK系統
- 開放式廚房和內部吧台
- 帶特大號雙人床的主艙",Central,Hong Kong,,Boat,,Furniture;Electricity;Kitchen;Lighting;Sound & Video Equipment;Toilets;Living Space;Bar,Late Night Event (after 10pm);Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Shop Share;Photo Shooting,hong-kong
314,27750,1,,15000.0,,,,,,Red Diamond Queen 92 - 香港仔遊艇租用,Red Diamond Queen 92 - 香港仔遊艇租用,"Red Diamond Queen 92 Luxury Yacht位於香港仔.
這個可容納40人的遊艇共1000 平方尺，非常適合舉辦遊艇派對, 船P, 遊船河.
每位HK$1500起.
立即查詢, 並索取報價","Red Diamond Queen 92 Luxury Yacht位於香港仔.
這個可容納40人的遊艇共1000 平方尺，非常適合舉辦遊艇派對, 船P, 遊船河.
每位HK$1500起.
立即查詢, 並索取報價",Aberdeen,Hong Kong,,Boat,,Air Conditioning;Electricity;Kitchen;Lighting;Internet;Sound & Video Equipment;Toilets,Late Night Event (after 10pm);Food Event;Corporate Event;Photoshoot & Filming;Conference;Food & Beverage;Meeting;Office;Photo Shooting,hong-kong
315,27764,1,,1.0,,,,,,The Royal Club - 葵涌派對房間租用,The Royal Club - 葵涌派對房間租用,"The Royal Club位於葵涌.
這個可容納60人的派對房間共1600 平方尺，非常適合舉辦研討會, 各種派對及會議.
每位HK$180起.
立即查詢, 並索取報價","The Royal Club位於葵涌.
這個可容納60人的派對房間共1600 平方尺，非常適合舉辦研討會, 各種派對及會議.",Kwai Chung,Hong Kong,,Event Space,,Air Conditioning;Electricity;Kitchen;Lighting;Internet;Sound & Video Equipment;Toilets,Food Event;Corporate Event,hong-kong
341,29435,365,,,12500.0,,,,,Affordable mall shop for rent in Tsim Sha Tsui,Affordable mall shop for rent in Tsim Sha Tsui,"This unit is located in a shopping center of Tsim Sha Tsui, on the U/G floor.

It is surrounded by caterers, art shops, restaurants, and bars... Above the mall is an office tower with many companies.","This unit is located in a shopping center of Tsim Sha Tsui, on the U/G floor.

It is surrounded by caterers, art shops, restaurants, and bars... Above the mall is an office tower with many companies.",Tsim Sha Tsui,Hong Kong,,Mall Shop,,Toilets,Pop-Up Store;Shopping Mall,hong-kong
343,29516,365,,,45000.0,,,,,Corner Office to Rent in Sheung Wan,Corner Office to Rent in Sheung Wan,"This very bright office space is located in the heart of Sheung Wan. This location enjoys high traffic on Hollywood Road.
You can find in the area a wide selection of high-quality, good-value office premises and a six-level shopping arcade surrounded by specialty stores.",This very bright office space is located in the heart of Sheung Wan. This location enjoys high traffic on Hollywood Road.,Sheung Wan,Hong Kong,,Office Space,,Stunning View,Office,hong-kong
349,25654,365,,,190000.0,,,,,,Amazing shop for rent in Tsim Sha Tsui,"This bright venue is situated in the bustling area of Nathan Road. It is a perfect space to host a Pop-Up Store or Product Launch.

With its high brand environment due its stylish area and its unprecedented international foot traffic, this authentic space guarantees a warm atmosphere thanks to its vibrant spirit.

This space is surrounded by multiple flagship stores including Longines, Swatch, Tissot, Omega. This is an outstanding opportunity for brands to align with the biggest brand names in the world and to rent a shop in an affluent street.",,Tsim Sha Tsui,Hong Kong,,Boutique / Shop,,Street Level,Pop-Up Store,hong-kong
350,29402,365,,,50866.0,,,,,Large office space for rent on Queen's Road Central,Large office space for rent on Queen's Road Central,"This large office space is within walking distance from the heart of Central, just a few meters away from the Centre Tower.

With large windows, it offers lots of natural light. 

It comes with private toilets, ceiling, lighting, and is globally in good condition. The flooring is to be added as shown in the pictures.","This large office space is within walking distance from the heart of Central, just a few meters away from the Centre Tower.

With large windows, it offers lots of natural light. 

It comes with private toilets, ceiling, lighting, and is globally in good condition. The flooring is to be added as shown in the pictures.",Sheung Wan,Hong Kong,,Office Space,,Air Conditioning;Electricity;Lighting;Toilets;Elevator,Art Opening;Office,hong-kong
351,14224,3,168.0,900.0,24300.0,950.0,6300.0,,,Kiosk near designer retailers,Kiosk near designer retailers,"This clean and fresh kiosk is situated at the key center in south side of Hong Kong Island. The calm space is an ideal venue for a pop-up store,.

With an open frontage, this kiosk offers good visibility and the venue is filled with a beautiful natural light. The interiors here are contemporary. The venue has a dynamic atmosphere and a classic outlook, adding an unusual feel to the venue. Extensive facilities including air-conditioning, electricity and display shelves , this venue is a great option for pop-up store.

Located close to designer retailers and popular attractions, this location benefits from steady foot traffic and is ideal for brands and startups.",This clean and fresh kiosk is situated at the key center in south side of Hong Kong Island.,Stanley,Hong Kong,,Booth / Kiosk / Stand,,Air Conditioning;Electricity;Lighting,Shopping Mall,hong-kong
354,27900,1,,8000.0,,,,,,JTL Co-working Center - 觀塘共享工作空間出租,JTL Co-working Center - 觀塘共享工作空間出租,"JTL Co-working Center位於觀塘.
這個可容納250人的共享工作空間共1714 平方尺，非常適合舉辦共享辦公室、會議及工作空間.
每位HK$10起.
立即查詢, 並索取報價","JTL Co-working Center位於觀塘.
這個可容納250人的共享工作空間共1714 平方尺，非常適合舉辦共享辦公室、會議及工作空間.
每位HK$10起.
立即查詢, 並索取報價",Kwun Tong,Hong Kong,,Office Space,,Air Conditioning;Electricity;Lighting;Internet;Sound & Video Equipment;Toilets,Corporate Event;Meeting;Office,hong-kong
355,25066,365,,,600000.0,,,,,,One-of-a-kind Venue on Queens Road Central,"This amazing retail and office space is located in the upmarket area of Queens Road Central. This upper space is a perfect venue for pop-up shops, product launches or exclusive sales.

With pedestrian traffic as well as an undeniably guaranteed location, this venue ensures a significant local and international population thanks to its tourist and shop retailers district.

This space is surrounded by multiple flagship stores and businesses including Marks & Spencer, HSBC... This is an outstanding opportunity for brands to align with the biggest brand names in the world.",,Central,Hong Kong,,Boutique / Shop,,Street Level,Fashion Show;Pop-Up Store;Fashion Showroom,hong-kong
362,26864,1,,1.0,,,,,,Kyoto Joe at your reach for your private events,Kyoto Joe at your reach for your private events,"Reinventing itself for 15 years...

Kyoto Joe has a simple concept: to deliver original, unique Japanese dishes in Hong Kong. 

The restaurant places a strong emphasis on using fresh ingredients, with a dedicated team that strives to create a warm, friendly atmosphere for guests.

Contact us to privatize this unique venue for your event.",Contact us to privatize this unique venue for your event.,Central,Hong Kong,,Restaurant / Bar / Cafe,,Air Conditioning;Toilets;Stunning View;Bar;Elevator,Late Night Event (after 10pm);Food Event;Corporate Event;Food & Beverage,hong-kong
365,26886,365,,,15855.0,,,,,Industrial unit for rent in Chai Wan,Industrial unit for rent in Chai Wan,"Unit for rent in very good condition in an industrial building of Chai wan.

Ideal for storage space, an office, a showroom, etc., this industrial unit is suitable for many different activities.

Management fee & Government rate = $2.5 / sq ft",Unit for rent in very good condition in an industrial building of Chai wan.,Chai Wan,Hong Kong,,Atelier / Workshop Studio,,Electricity;Toilets;Elevator;Industrial,Fashion Showroom;Food & Beverage;Office,hong-kong
366,11799,180,365.0,,519400.0,,,,,Pop-up Shop in Trendy Causeway Bay,Pop-up Shop in Trendy Causeway Bay,"This generous and sleek pop-up store is situated in the touristic area of Causeway Bay. The spacious shop is an ideal venue for a Pop-Up Store.

This shop boasts an entire glass frontage with an elegant window display, there is a fresh and crisp feel with great visibility.  
There are modern interiors with polished concrete floors, white walls and gorgeous windows. The shop has a cosy atmosphere with a creative edge. It also offers basic amenities including electricity and can accommodate a variety of pop-up stores.

Located close to the MTR station and a few prestigious shopping malls, this pop-up store is easily accessible and it is without a doubt, a great location for pop-up stores.

This shop is ideal for emerging brands looking for a mid-term rental opportunity.",This generous and sleek pop-up store is situated in the touristic area of Causeway Bay.,Causeway Bay (West),Hong Kong,,Boutique / Shop,,Electricity;Lighting;Street Level;Window Display,Pop-Up Store,hong-kong
367,26862,1,,1.0,,,,,,Ciao Chow is a casual open-kitchen Italian cafeteria for rent,Casual italian restaurant for rent in Central,"Casual open-kitchen Italian cafeteria that promotes lively interaction between our patrons and our chefs. 

A theater of sorts, where your meal is freshly prepared and your drink expertly poured in front of you at our pizza kitchen, chef’s kitchen, and cocktail bar. From our communal tables to our pick-and-choose antipasti platters, pastas, and pizzas, everything at our restaurant fosters a convivial atmosphere where food is shared among family and friends. With a decidedly Italian touch, the interiors feature monolithic marble countertops and terrazzo floors blended with an industrial feel of exposed concrete, copper piping, and light fixtures. Within our large seating area, our chef’s table can fit up to 10 people to accommodate special requests and occasions. 

Our customers can be assured that all of the ingredients we use are of the highest quality and our cooking methods authentic. We do not cut costs for cheaper ingredients - period. Who would have thought that basic food ingredients could be so highly complicated? WE DO.

Contact us to inquire about this space and arrange your event at this fabulous location in Central.",Ciao Chow is a casual open-kitchen Italian cafeteria that promotes lively interaction between our patrons and our chefs.,Central,Hong Kong,,Restaurant / Bar / Cafe,,Toilets;Bar;Large Door Entrance,Late Night Event (after 10pm);Food Event;Corporate Event;Food & Beverage,hong-kong
368,27144,365,,,35833.0,,,,,Very Bright Office to Rent in Sheung Wan,Very Bright Office to Rent in Sheung Wan,"This very bright office space is located in the heart of Sheung Wan. This location enjoys high traffic on Hollywood Road.
You can find in the area a wide selection of high-quality, good-value office premises and a six-level shopping arcade surrounded by specialty stores.",This very bright office space is located in the heart of Sheung Wan. This location enjoys high traffic on Hollywood Road.,Sheung Wan,Hong Kong,,Office Space,,Stunning View,Office,hong-kong
